,name,album,artist,release_date,length
0,Ye Ishq Hai,Jab We Met,Pritam,2007-09-21,280974
1,Drama Queen,"Drama Queen (From ""Hasee Toh Phasee"")",Vishal-Shekhar,2014-01-05,198746
2,Mere Dholna,Bhool Bhulaiyaa,Pritam,2007-09-05,404432
3,"Ghoomar (From ""Padmaavat"")","Ghoomar (From ""Padmaavat"")",Sanjay Leela Bhansali,2017-10-25,282007
4,Param Sundari,Mimi (Original Motion Picture Soundtrack),A.R. Rahman,2021-07-16,200218
5,Chikni Chameli,Agneepath (Original Motion Picture Soundtrack),Ajay-Atul,2011-12-16,301586
6,Jhalla Wallah,Ishaqzaade,Amit Trivedi,2012-04-12,351425
7,,,Various Artists,0000,0
8,"Raat Bhar (From ""Heropanti"")",Groove With Arijit Singh,Arijit Singh,2019-05-22,325581
9,Barso Re,Guru (Original Motion Picture Soundtrack),A.R. Rahman,2006-09-11,329600
10,,,Various Artists,0000,0
11,,,Various Artists,0000,0
12,"Kangna Re (From ""Paheli"")",Best Of Shreya Ghoshal,Shreya Ghoshal,2018-03-09,355200
13,Zaalima Coca Cola,Zaalima Coca Cola,Tanishk Bagchi,2021-07-28,208212
14,,,Various Artists,0000,0
15,Pal - Female,Jalebi (Original Motion Picture Soundtrack),Javed-Mohsin,2018-09-21,248000
16,Go Go Govinda,Oh My God,Himesh Reshammiya,2012-08-24,305574
17,,,Various Artists,0000,0
18,"Slow Motion (From ""Bharat"")","Slow Motion (From ""Bharat"")",Shreya Ghoshal,2019-04-25,247247
19,Ooh La La,The Dirty Picture,Vishal-Shekhar,2011-10-29,256021
20,,,Various Artists,0000,0
21,"Kabhi Jo Baadal Barse (Female Version) [From ""Jackpot""]",Best Of Shreya Ghoshal,Shreya Ghoshal,2018-03-09,248920
22,"Sunn Raha Hai (From ""Aashiqui 2"")",Best Of Shreya Ghoshal,Shreya Ghoshal,2018-03-09,314700
23,Ishq Hua,Aaja Nachle,Salim–Sulaiman,2007-10-18,263026
24,"Dola Re Dola - From ""Devdas""",Devdas (Original Motion Picture Soundtrack),Various Artists,2002-01-01,395866
25,Chori Kiya Re Jiya,Dabangg,Sajid-Wajid,2010-08-04,286720
26,Song: Dola Re,"Devdas - An Adaptation Of Sarat Chandra Chattopadhyay's ""Devdas""",Various Artists,2002-01-01,303386
27,Tu Chale,I,A.R. Rahman,2015-01-09,308485
28,Radha,Student of the Year (Original Motion Picture Soundtrack),Vishal-Shekhar,2012-08-31,341360
29,Tujh Mein Rab Dikhta Hai - II,Rab Ne Bana Di Jodi,Salim–Sulaiman,2008-11-06,101799
30,Hasi - Female Version,Hamari Adhuri Kahani (Original Motion Picture Soundtrack),Jeet Gannguli,2015-05-21,192186
31,Pal,Pal,Javed-Mohsin,2018-09-14,247286
32,Bahara,I Hate Luv Storys (Original Motion Picture Soundtrack),Vishal-Shekhar,2010-05-25,325706
33,Piya O Re Piya,Tere Naal Love Ho Gaya (Original Motion Picture Soundtrack),Sachin-Jigar,2011-02-24,292746
34,Raabta (Kehte Hain Khuda Ne),Agent Vinod,Pritam,2012-02-24,289196
35,Jeene Laga Hoon,Ramaiya Vastavaiya (Original Motion Picture Soundtrack),Sachin-Jigar,2013-07-19,236933
36,Saans,Jab Tak Hai Jaan,A.R. Rahman,2012-10-09,326112
37,Agar Tum Mil Jao,Zeher,Various Artists,2005-03-25,360437
38,,,Various Artists,0000,0
